,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size,clean_link
2897,B0002AQXYU,"Spectrastone Special Blue Aquarium Gravel for Freshwater Aquariums, 5-Pound Bag",Blue aquarium gravel for freshwater aquariums. Will not affect <br> PH. Safe for use in freshwater aquari...,fish,fish_5,75,0.3989351351351351,37.0,79
2900,B0002AQSK4,"North American Pet BBO22782 Bob Ladder Keet for Pets, 18-Inch",Our wooden ladders make it affordable for your customer to <br> customize their birds cage in a variety o...,bird,bird_4,45,0.5350400000000001,5.0,61
2902,B0002AQY9O,EHEIM Quick Vac Pro Automatic Gravel Cleaner and Sludge Extractor,",,,",fish,fish_2,48,0.3425143356643357,572.0,65
2910,B0002AQVGK,Coastal Dog Collar Small - 10 in. Blue with a Width of 3/8 in.,"Made from high quality nylon, that is specially processed to <br> prevent fraying and increase the overal...",rabbits and rodents,rabbits and rodents_6,23,0.3434799999999999,5.0,62
2918,B0002AQXD6,Binny 2 Top Pet Carrier,"Marchioro Binny 2 Top Carrier for pets is suitable for small <br> dogs, cats, rabbits, ferrets, guinea pi...",cat,cat_4,36,0.659019047619048,42.0,23
2924,B0002AQXIQ,"Eheim Universal Pump 600 (1048-790), 120V","World-renowned aquarium pump boasts exceptional quality and <br> reliable performance. Epoxy filled, herm...",rabbits and rodents,rabbits and rodents_1,40,0.3316000000000001,6.0,41
2929,B0002AQX9U,"Spectrastone Permaglo Rainbow Aquarium Gravel for Freshwater Aquariums, 5-Pound Bag",Permaglo rainbow aquarium gravel for freshwater aquariums. Will <br> not affect PH. Safe for use in fresh...,fish,fish_2,1,0.7356571428571429,7.0,83
2942,B0002AQX1S,"Marchioro Baltic Shoulder Strap for Pet Carriers, Black",Marchioro Baltic is an adjustable Carry Strap that allows for <br> easy and comfortable shoulder or hand ...,cat,cat_5,63,0.662,7.0,55
2955,B0002AR4N4,Aspen/Booda Corporation Terry Cloth Pig - Medium,"You have to squeeze them to believe them!Your dog will love them <br> because they are soft to bite, yet ...",cat,cat_1,53,0.6114,2.0,48
2956,B0002AR34Y,Sheppard &amp; Greene Ferret Cage Bed Hammock Sleep Sack,Ferret Sleep Sack is sherpa lined and super snuggly. Attaches <br> with metal hooks to the wire of your c...,rabbits and rodents,rabbits and rodents_4,67,0.5463333333333334,21.0,56
2962,B0002AQZL6,Pet Mate Circular Glass Fitting Cat Flap,Cat flap. Circular style. 4 way locking flap. Recommended for <br> single/double glazing and very thin pa...,cat,cat_1,71,0.5725862068965517,29.0,40
2996,B0002AQXBI,Ithaka 6 Pet Carrier,Treat your pet to a top line crate that provides Italian fashion <br> and durability. Perfect for crate t...,rabbits and rodents,rabbits and rodents_5,49,0.72485,4.0,20
2999,B0002AQUHK,"Living Sea Hydrometer, Celsius &amp; Fahrenheit, Small, 8 Inches",The Living Sea Hydrometer is important to maintain proper living <br> conditions for your fish. The use o...,rabbits and rodents,rabbits and rodents_1,45,0.26633,20.0,64
3006,B0002ARF3I,Lafeber's Premium Daily Diet Pellets for Parakeets 1.25 lb,Lafeber's Premium Daily Diet Pellets for Parakeets 1.25 lb,bird,bird_1,60,0.5905190476190476,21.0,58
3007,B0002ARBFK,Dog Collar Nylon - 12 in. Blue with a Width of 5/8 in.,"Made from high quality nylon, that is specially processed to <br> prevent fraying and increase the overal...",farm animals,farm animals_5,4,0.1691,2.0,54
3012,B0002ARF4W,Lafeber's Premium Daily Diet Pellets for Parrots 1.25 lb Tub,Dr. Lafeber Sr. created the very first pet bird pellet. As a <br> practicing veterinarian in the 1960's D...,bird,bird_3,36,0.543800819672131,122.0,60
3014,B0002ARCOK,"Rabbit Pellets, 5-Pound",Hagen rabbit pellets are a complete pelleted diet suitable for <br> all stages of a rabbit's or dwarf rab...,rabbits and rodents,rabbits and rodents_1,2,0.7372333333333333,3.0,23
3022,B0002AR75E,"Aspen/Booda Corporation BBX56132 Byrdy Cable Cross Bird Toy, Small","Booda byrdy cable cross shapes into a ""one-of-a-kind"" perch for <br> your bird. Holds its shape without d...",bird,bird_3,27,0.4955571428571428,14.0,66
3024,B0002ARF5G,LAFEBER'S Premium Daily Diet for Parrots,Dr. Lafeber Sr. created the very first pet bird pellet. As a <br> practicing veterinarian in the 1960's D...,bird,bird_6,30,0.6144178571428573,28.0,40
3029,B0002ARFQ0,Lafeber Gourmet Garden Veggie Nutri-Berries for Parrots 10 oz Bag,Here's one sure way to get your bird to eat his veggies. Garden <br> Veggie Nutri-Berries are a veritable...,bird,bird_2,18,0.5574757281553401,103.0,65
3033,B0002AR76I,Booda 1 Ring Swing N-Feet Perch for Birds,The BOODA Swing 'N Perch provides a firm perch made from a woven <br> cable of soft cotton. Designed to s...,bird,bird_3,50,0.5913544117647057,136.0,41
3035,B0002AR18M,HDP Cat Zoom Groom,KONG Zoomgroom is the best grooming and shampooing brush <br> available. Removes loose hair like a magnet...,cat,cat_3,61,0.6035440170940171,1404.0,18
3036,B0002ARFRE,"LAFEBER'S Tropical Fruit Nutri-Berries Pet Bird Food, Made with Non-GMO and Human-Grade ...","Lafeber' s Tropical Fruit Nutri-Berries Macaw Food with <br> Pineapple Papaya and Mango are colorful, ric...",bird,bird_1,15,0.6057666666666668,18.0,131
3038,B0002ARGKU,Lafeber Nutri-Nuts Macaw 5oz,Nutri-Nuts for Macaws and Cockatoos is a premium bird treat <br> specially designed for your birds taste ...,bird,bird_4,67,0.3661,2.0,28
3039,B0002ARFQK,Lafeber's Gourmet Tropical Fruit Nutri-Berries for Cockatiels 10 oz Bag,"Lafeber' s Tropical Fruit Nutri-Berries Cockatiel Food with <br> Pineapple Papaya and Mango are colorful,...",bird,bird_6,25,0.5908485714285714,105.0,71
3045,B0002ARFOC,LAFEBER'S Classic Nutri-Berries Parrot Food 12 oz,"LAFEBER'S Classic Nutri-Berries Parrot Food 12 oz,,",bird,bird_6,29,0.6023930555555554,432.0,49
3057,B0002ARFN8,Classic Nutri-Berries for Parakeets 12.5 oz Tub,Product Highlight(s):Lafeber's Classic Nutri-Berries for <br> Parakeets is a nutritious food. It's many a...,bird,bird_2,30,0.5036461538461539,104.0,47
3061,B0002AR4PM,"Just Born Milk Replacer Powder For Kittens, 6 Oz",Just Born Milk Replacer for Kittens (Powder),cat,cat_4,78,0.63055,4.0,48
3062,B0002ARFS8,"LAFEBER'S Classic Avi-Cakes Pet Bird Food, Made with Non-GMO and Human-Grade Ingredients, for ...",Our Avi-Cakes avian diet is a nutritionally complete foraging <br> food composed of 50% pellets and 50% s...,bird,bird_2,16,0.780125,8.0,149
3066,B0002ARFNS,"LAFEBER'S Classic Nutri-Berries Pet Bird Food, Made with Non-GMO and Human-Grade Ingredients, for ...",Classic Nutri-Berries are the food that doesn't underestimate <br> your bird's good taste...or intelligen...,bird,bird_5,2,0.5827112676056336,71.0,117
3069,B0002ARIY4,Pollys Pet Products Pastel Bird Perch Size Large 1.5x10in Assorted Colors by Perfect Polly,",Polly's Pastel Perches are Guaranteed to Trim Birds <br> Nails,Variable Size Promotes Healthier Feet and...",bird,bird_6,12,0.74185,2.0,90
3070,B0002ARF4M,"LAFEBER'S Premium Daily Diet Pellets Pet Bird Food, Made with Non-GMO and Human-Grade Ingredients, ...",Dr. Lafeber Sr. created the very first pet bird pellet. As a <br> practicing veterinarian in the 1960's D...,bird,bird_3,56,0.5187148514851486,101.0,120
3072,B0002ARIEY,"Hikari 2-Ounce Cichlid Bio-Gold and Floating Pellets for Pets, Mini",Daily diet for South American cichlids utilizing bio-technology <br> for superior coloration. Great for l...,fish,fish_3,21,0.6621833333333335,6.0,67
3075,B0002ARI9O,Staple Pellets - Floating - Large - 22 Lb. By Hikari,"Hikari Staple is an economical, daily diet for koi as well as <br> other pond fishes. It contains all the...",fish,fish_5,67,0.8342499999999999,2.0,52
3082,B0002ARJ8Y,Polly Pets Small Roll or Swing,"Polly's Roll Or Swing, a play and activity center, provides two <br> ways for your bird to have fun! Key ...",bird,bird_1,3,0.7664500000000001,4.0,30
3084,B0002ARJ84,ERGMY Pollys Pet Products Grooming Bird Stand Size XLarge 7 5/8 x 12in Assorted Colors,"Pollys Portable Stand provides a moveable perch that gives the <br> pet bird a comfortable, familiar rest...",bird,bird_6,20,0.5572199999999999,5.0,86
3086,B0002ARIW6,"Polly's Pastel Baby Bird Perch, Small",Polly's Pastel Perches are designed to trim your birds nails in <br> five days and they will stay trimmed...,bird,bird_6,61,0.6627142857142857,7.0,37
3088,B0002ARJTS,"Polly's Biomagnetic Bird Perch, Medium",Polly's Biomagnetic Perch Medium. This perch is designed to help <br> the ill or older birds by promoting...,bird,bird_4,66,-0.1927333333333334,3.0,38
3092,B0002ARFSI,"LAFEBER'S Classic Avi-Cakes Pet Bird Food, Made with Non-GMO and Human-Grade Ingredients, for ...","It's Love At First Bite Original, Nutritional, Flavorful. This <br> is the recipe birds have grown to lov...",bird,bird_2,42,0.3250615384615384,13.0,116
3098,B0002ARH9K,"Kent Marine 00385 Black Water Expert, 8-Ounce Bottle",Black water expert contains natural humic and tannic acids that <br> simulate water conditions found in t...,rabbits and rodents,rabbits and rodents_3,9,0.7775666666666666,3.0,52
3100,B0002ARJ7K,Polly Perfect Portable Stand Large,Polly Perfect Portable Stand Perfect for use around the house or <br> Office Includes 10oz Quick Lock Cro...,bird,bird_6,74,0.2883699999999999,10.0,34
3103,B0002ARBI2,"Coastal Pet Nylon Dog Collar (Purple, 12 Inch L x 5/8 Inch W)","Coastal Pet Nylon Dog Collar (Purple, 12 Inch L x 5/8 Inch W)",farm animals,farm animals_5,9,0.39505,2.0,61
3107,B0002ARHJK,Kent Marine Tech CB,"Each of Tech CB Part A and Part B is half of a ionically <br> balanced, complete calcium and alkalinity c...",other,other_1,64,0.31245,2.0,19
3110,B0002ARFR4,Lafeber's Gourmet Tropical Fruit Nutri-Berries for Macaw / Cockatoo 10 oz Bag,nan,bird,bird_6,1,0.5278125,8.0,77
3114,B0002ARI5S,"Kent Marine AKMLROR16 RO Right Liquid for Aquarium, 16-Ounce",Provides general hardness (gh) and a small amount of alkalinity <br> (kHz). Specially formulated mixture ...,fish,fish_3,31,0.547875,4.0,60
3119,B0002ARFQA,"LAFEBER'S Garden Veggie Nutri-Berries Pet Bird Food, Made with Non-GMO and Human-Grade Ingredients, ...",Here's one sure way to get your bird to eat his veggies. Garden <br> Veggie Nutri-Berries are a veritable...,bird,bird_6,27,0.6154432432432433,37.0,117
3122,B0002ARJJ8,"Polly's Hardwood Arch Swing for Birds, Large",Polly's Hardwood Arch Swing Large. Some birds enjoy swinging <br> forward and back while others will twis...,bird,bird_1,68,0.2482,2.0,44
3128,B0002ARK6A,Hikari Tropical Micro Pellets 22 Gm,"Micro Pellets are small, multi&#045;colored pellets developed <br> specifically for small&#045;mouth fish...",fish,fish_3,24,0.7994299999999999,10.0,35
3130,B0002ARIYY,Polly's Pastel Perch Extra Large,Polly's Pastel Perches are Guaranteed to Trim Birds <br> NailsVariable Size Promotes Healthier Feet and L...,other,other_5,78,0.24635,2.0,32
3134,B0002ARK7Y,"Hikari Marine Pellets for Pets, 3.87-Ounce",Protein-rich staple diet for popular marine aquarium fish. <br> Nutritious daily diet boasts flavor that ...,fish,fish_3,18,0.5731222222222222,18.0,42
3148,B0002ARJI4,"Polly's Hardwood Arch Swing for Birds, X-Small",Polly's Hardwood Arch Swing Extra Small. Some birds enjoy <br> swinging forward and back while others wil...,bird,bird_3,4,0.8197749999999999,4.0,46
3157,B0002ARJJS,"Polly's Hardwood Arch Swing for Birds, X-Large",Polly's Hardwood Arch Swing Extra Large. Some birds enjoy <br> swinging forward and back while others wil...,bird,bird_5,3,0.4670900000000001,10.0,46
3175,B0002ARF6A,Lafebercares Macaw and Cockatoo Pellets,Dr. Lafeber Sr. created the very first pet bird pellet. As a <br> practicing veterinarian in the 1960's D...,bird,bird_1,30,0.5015906976744187,86.0,39
3185,B0002ARJUW,"Polly's Biomagnetic Bird Perch, X-Large",Polly's Biomagnetic Perch Extra Large. This perch is designed to <br> help the ill or older birds by prom...,bird,bird_2,9,0.8301499999999999,2.0,39
3189,B0002ARMVS,ZuPreem Primate Diet Dry - 20 lb,Professional bird breeders and pet owners for years have fed <br> ZuPreem Dry Primate biscuits to parrots...,bird,bird_6,40,0.6209807692307693,52.0,32
3193,B0002AROQG,Marshall Bandit Ferret Treats,Ferrets are strict carnivores and require meat-based protein. <br> Marshall premium ferret diet and bandi...,rabbits and rodents,rabbits and rodents_6,29,0.4535285714285714,35.0,29
3194,B0002AROZC,Marshall Ferret Bandanna,The Marshall american flag bandana adds some patriotic style to <br> the original bandana.,rabbits and rodents,rabbits and rodents_1,29,0.31232,5.0,24
3205,B0002ARMEK,Caitec Acrobird Playland,"24"" Play land appropriate for Small and Medium Birds. <br> Appropriately sized perches for medium sized b...",bird,bird_4,64,0.1582944444444444,18.0,24
3209,B0002ARNN0,Extra Dog Chain Links (Set of 3),Chrome plated extra links conveniently provide additional sizing <br> options for the pinch link training...,dog,dog_5,39,0.5379200000000001,5.0,32
3212,B0002ARPJM,Marshall 4-1/2-Ounce Furo-Vite,Marshall furo-vite is an all-natural daily vitamin paste that <br> ferrets of all ages love. Contains exc...,rabbits and rodents,rabbits and rodents_1,12,0.6664454545454546,11.0,30
3213,B0002ARPWE,"Bird Ladders 7 Step 11"""" x 4 1/4""""",Fun diversion and healthy exercise. Permits easy access to <br> assorted perches. Constructed of natural ...,bird,bird_2,14,0.7792666666666667,3.0,34
3223,B0002ARPR4,"Marshall Designer Fleece Blanket for Ferrets, Pattern Fleece",The Marshall designer fleece blanket is a 24-inch by 24-inch <br> blanket with some style. Your ferret wi...,rabbits and rodents,rabbits and rodents_4,72,0.7168523809523809,21.0,60
3233,B0002ARMQS,"Blue Ridge Fish Food Pellets | Koi and Goldfish Growth Formula | Floating Mini Pellet, Balanced Diet",Blue Ridge Growth Formula Koi & Goldfish Food Mini Size 2 lb,fish,fish_3,65,0.4777740740740739,27.0,100
3236,B0002ARPYW,Living World Wooden Perch - 2 Pack,The Living World Wooden Perch is a great addition for you to add <br> to your birds cage. It is recommend...,bird,bird_2,55,0.292434693877551,49.0,34
3244,B0002ARQDM,"Marshall Ferret Igloo, Blue Fleece",The Marshall igloo is perfect for the natural burrowing and <br> tunneling instincts of your ferret.,rabbits and rodents,rabbits and rodents_3,77,0.7446833333333333,18.0,34
3262,B0002AROVQ,Marshall Ferret Litter Pan,"The Marshall high back litter pan integrates the best features <br> of regular and corner litter pans, an...",rabbits and rodents,rabbits and rodents_6,20,0.4284945233265723,493.0,26
3268,B0002ARS5I,"Landing Perch W/ Mirror, Assorted Colors",These durable and safe toys will add variety and interest to any <br> cage. Designed to stimulate your bi...,bird,bird_4,29,0.844775,4.0,40
3270,B0002ARQVE,Safari Soft Tip Massager for Cats,The Safari Cat Soft Tip Massager reduces shedding and is <br> dual-sided for complete grooming. Great for...,cat,cat_4,29,0.6421264705882352,34.0,33
3273,B0002ARQ50,"Marshall Plastic Bell Toys Asst, 2-Pack","The Marshall plastic bell toy is simply fun for ferrets of all <br> ages.,,",rabbits and rodents,rabbits and rodents_3,69,0.4804333333333333,3.0,39
3278,B0002ARSEO,Wardley,Wardley Pond Flake Food is a highly digestible formula specially <br> designed for the energy needs of ko...,fish,fish_5,69,0.5323076923076924,26.0,7
3282,B0002ARSCQ,Wardley,"Wardley Premium Algae Discs, 8-1/2-Ounce,,",fish,fish_2,32,0.5600980769230769,52.0,7
3290,B0002AROFM,"Aquarium Products AAZCCC Crystal Clear Fresh Water Conditioners for Aquarium, 3/4-Ounce",Aquarium Products Crystal Clear 3/4 oz. Crystal Clear can be <br> used in both Freshwater and Marine aqua...,fish,fish_2,44,0.366,9.0,87
3300,B0002ARPWO,"Bird Ladders 9 Step 14"""" x 4 1/4""""",Fun diversion and healthy exercise. Permits easy access to <br> assorted perches. Constructed of natural ...,rabbits and rodents,rabbits and rodents_4,19,0.5691333333333334,3.0,34
3319,B0002ARUPQ,"Canary Staple Vme Seed, 3-Pound",Hagen canary seed contains only the highest quality seeds <br> blended in a perfect balance for the nutri...,bird,bird_5,4,0.5460666666666667,15.0,31
3329,B0002ARQDC,Marshall Ferret Leisure Lodge Frog,The Marshall leisure lodge is anything but the same old <br> accessory. Designed to look like a frog and ...,rabbits and rodents,rabbits and rodents_2,13,0.2362333333333333,3.0,34
3338,B0002ARVXW,Multipet Duckworth Baby Splash Dog Toy,Plush Baby Duck Yellow w/squeaker for dogs,farm animals,farm animals_5,1,0.87865,4.0,38
3341,B0002ARTWK,"Harley Davidson Double Ply Spiked Leather Dog Collar, 1.5 x 24 Inches, for Big Dogs",Product Highlight(s):Available from 10 inches to 26 inches.As <br> the size of the Harley Davidson Spiked...,dog,dog_6,4,0.7612187499999999,16.0,83
3354,B0002ARV1O,Big Buddie Fritz The Frog,"The Happy Pet Wiggly Giggly Ropeball s vinyl dog toy that makes <br> a giggle sound when played with
Dogs...",other,other_4,48,0.7028,2.0,25
3359,B0002ARWU4,Ethical 4-1/2-Inch Grecian Stoneware Cat Dish,"This 4.5-inch bowl will add a nice touch of class to meal time <br> for your cat. Cleans easily, and is t...",cat,cat_2,9,0.6762166666666666,6.0,45
3360,B0002ART9S,SuperClean Wardley Advanced Nutrition Perfect Protein Goldfish Food Flakes,Wardley Advanced Nutrition Perfect Protein Goldfish Flakes are <br> scientifically designed to provide th...,fish,fish_4,34,0.4798166666666666,6.0,74
3365,B0002ARVKU,"Cockatiel Staple Vme Seed, 5-Pound",Hagen cockatiel seed contains only the highest quality seeds <br> blended in a perfect balance for the nu...,bird,bird_1,39,0.6395000000000001,8.0,34
3372,B0002ARUNI,Flavored Mineral Blocks Orange,The only beak block with vitamins and minerals. Helps keep beaks <br> trim and sharp. The orange and appl...,bird,bird_2,21,0.43955,2.0,30
3377,B0002ARSBM,Spirulina Discs Fish Food,"Vegetable food for bottom feeders, a perfect diet for <br> herbivorous fish.",fish,fish_1,2,0.3004125,8.0,25
3382,B0002ARXUI,Bird Toys - Multipettipet TOY BIRDY BUDDY GN LG,Bird Toys by MULTIPET INTERNATIONAL - Get Fast Shipping and Low <br> Prices at PetsWarehouse.com on over ...,bird,bird_1,9,0.70615,2.0,47
3383,B0002ARWUO,Ethical 8-1/2-Inch Double Grecian Cat Dish,"This 4.5-inch bowl will add a nice touch of class to meal time <br> for your cat. Cleans easily, and is t...",cat,cat_2,24,0.8164,4.0,42
3390,B0002ARVN2,"Hagen Pigeon &amp; Dove Staple VME Seeds, 6 Pounds",Hagen Pigeon and Dove Seed is an original blend of food that has <br> superior quality with added iodine....,bird,bird_6,52,0.4599521276595743,94.0,50
3406,B0002ARY5W,Wardley Advanced Nutrition Perfect Protein Medium Cichlid Fish Food Pellets - 3.5oz,The first fish food designed to provide the ideal balance of the <br> essential amino acids your fish req...,fish,fish_4,63,0.7292000000000001,2.0,83
3411,B0002ARUQA,"Finch Staple Vme Seed, 3-Pound",Hagen finch seed contains only the highest quality seeds blended <br> in a perfect balance for the nutrit...,bird,bird_4,37,0.56096,20.0,30
3416,B0002ARVKK,"Cockatiel Staple Vme Seed, 2-1/2-Pound",Hagen cockatiel seed contains only the highest quality seeds <br> blended in a perfect balance for the nu...,bird,bird_4,46,0.4320999999999999,6.0,38
3418,B0002ARX9Y,Wardley 1525 Goldfish Flakes Pet Food,"WARDLEY 1525 Goldfish Flakes Pet Food,,",fish,fish_1,36,0.4779800000000001,5.0,37
3420,B0002ARYCA,Multi Pet Happy Hut Medium Green,Dog Toy Stuffed_Soft by MULTIPET INTERNATIONAL - Get Fast <br> Shipping and Low Prices at PetsWarehouse.c...,bird,bird_2,48,0.6620444444444443,9.0,32
3424,B0002AS172,"Ethical Pet Vermont Fleece Dog Toy, 9-Inch, Duck","Soft and cuddly 9"" Vermont natural fleece duck. Plush dog toy <br> with squeaker. Sure to be hit with you...",farm animals,farm animals_6,1,0.8916999999999999,2.0,48
3435,B0002ARQ6E,"Marshall Small Animal Superchew, 3-Pack",Marshall super chews are an all-natural chew toy with a rubbery <br> texture an flavor that ferrets love....,rabbits and rodents,rabbits and rodents_5,64,0.3153461538461538,26.0,39
3439,B0002ARURE,"Oyster Shells, 15.5 Ounces",Hagen Oyster Shells is a natural high calcium source for you to <br> give your bird. Oyster Shells provid...,bird,bird_3,40,0.5292790322580644,62.0,26
3442,B0002ARY7U,Wardley,Wardley Algae Discs are ideal for bottom feeders and algae <br> eaters. Formulated with nutrient-rich spi...,fish,fish_3,63,0.4507358490566037,53.0,7
3443,B0002AS1U4,"Ethical Pets Long Ear Tugeeez Dog Toy, 7-Inch",Cool & colorful inspired toys for your playful pooch with ears <br> that slide and rubber teething caps o...,farm animals,farm animals_1,5,-0.3275,2.0,45
3450,B0002AS1OU,"All Glass Aquarium AAG09008 Tank and Eco Hood Combo, 5.5-Gallon",All Glass Aquarium tank and Eco Hood Combo-The small aquarium <br> combos are economical starter kits. Ea...,fish,fish_1,45,0.2964529411764705,17.0,63
3474,B0002ARQHI,"Hartz Wardley Shrimp Pellets, 1.6-Ounce",Specially formulated from a nutritious blend of ingredients. The <br> sinking pellet formula is ideal for...,fish,fish_5,77,0.63739,10.0,39
3478,B0002AS4JW,60319 Mf Ferret Home with Stnd - Part #: 100079123,The Deluxe Multi-Floor Ferret Home is perfect for a family of <br> Ferrets and is safe for Chinchillas to...,rabbits and rodents,rabbits and rodents_2,3,0.93006,5.0,50
3507,B0002AS55K,Kaytee Natural Corn Hut,Natural Corn Hut Hideout provides a secure hiding spot for small <br> animals. Made from a combination of...,rabbits and rodents,rabbits and rodents_6,5,0.6412333333333333,3.0,23
3511,B0002AS5H8,Ethical 5-Inch Cat-Paw Print Stonware Dish,Paw print white stoneware a beautiful line of fine quality heavy <br> stoneware dishes that will look gre...,cat,cat_5,68,0.6709163265306122,49.0,42
3525,B0002AS5OQ,Kaytee CritterTrail Fun-nels 10-Inch Straight Tube - Assorted Colors,Fun-nel Tubes are the ideal way to expand your CritterTrail <br> habitat. Easy to connect and pull apart ...,rabbits and rodents,rabbits and rodents_3,38,0.5292444444444445,9.0,68
3529,B0002AS5VY,AGA Fluorescent Black Hexagon 20 Gallon Hood,Our most popular Hood is designed to perfectly compliment your <br> All-Glass aquarium. It is custom fit ...,fish,fish_4,46,0.457875,32.0,44
3546,B0002AS596,Kaytee Guinea Pig Grassy Roll-a-Nest Hideout,Small Roll-a-Nest is an all natural grass hide-out that provides <br> the ideal spot for your pet to play...,rabbits and rodents,rabbits and rodents_1,38,0.5493636363636363,77.0,44
3559,B0002AS6U4,Aqueon Fluorescent Deluxe Strip Light 36 Inch - Black,Aqueon Strip-Lights are used with Versa-Tops for proper aquarium <br> lighting. These are exact strip-lig...,rabbits and rodents,rabbits and rodents_1,36,0.715175,4.0,53
3568,B0002AS6T0,"All Glass Aquarium AAG25920 Fluorescent Strip Light, 20-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,fish,fish_2,36,0.4028021978021977,91.0,60
3569,B0002AS61I,"Super Pet CritterTrail Value Pack #1, Fun-nels Small Pack Accessories",Make your critter trail home even more incredible with the <br> vibrantly colored fun-noels you receive i...,rabbits and rodents,rabbits and rodents_4,25,0.9206,2.0,69
3577,B0002AS6W2,"All Glass Aquarium AAG26220 Fluorescent Strip Light, 20-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,other,other_2,24,0.7419333333333333,3.0,60
3578,B0002AS71W,Wet and Wild Stingray Aquarium Ornament,nan,fish,fish_4,74,0.50554,5.0,39
3581,B0002AS5QE,Ethical Stonewe Animal Dish,Heavyweight design on this stoneware dog crock eliminates <br> movement and spillage. Sturdy and great fo...,rabbits and rodents,rabbits and rodents_5,29,0.4648538461538461,52.0,27
3584,B0002AS6WC,"All Glass Aquarium AAG26224 Fluorescent Strip Light, 24-Inch",All-Glass Strip-Lights are used with Versa-Tops for proper <br> aquarium lighting. These are exact strip-...,fish,fish_1,26,0.3866919999999999,25.0,60
3586,B0002AS5W8,"All Glass Aquarium AAG21603 Fluorescent Deluxe Hood, 35hex",Our most popular Hood is designed to perfectly compliment your <br> All-Glass aquarium. It is custom fit ...,rabbits and rodents,rabbits and rodents_5,37,0.4147096774193547,62.0,58
3590,B0002AS8HK,"All Glass Aquarium AAG29602 Versa Top, 26bf",Our glass tops are perfect for reducing evaporation and keeping <br> fish from jumping out of your aquari...,rabbits and rodents,rabbits and rodents_3,53,0.5657723076923078,65.0,43
3591,B0002AS226,25 Gallon Aqueon Tank with Stand,The All-Glass standard size aquarium is made with care to assure <br> that it can stand up to almost any ...,rabbits and rodents,rabbits and rodents_5,79,-0.144375,8.0,32
3596,B0002AS8PM,Kaytee Run-About 7&quot; Hamster Exercise Ball,Run-about balls provide pets and pet owners with interactive fun <br> during playtime. Sized perfectly fo...,rabbits and rodents,rabbits and rodents_1,39,0.4847418312387798,557.0,46
3608,B0002AS9M4,"Kaytee Paw-Print PetWare Bowl, Colors Vary",Paw-print petware is the perfect fancy feeder for your rabbit. <br> This fun and fashionable bowl is deco...,rabbits and rodents,rabbits and rodents_3,63,0.5651373271889397,217.0,42
3616,B0002AS8ES,Mini Divider,Stress balls,rabbits and rodents,rabbits and rodents_4,22,0.4373,3.0,12
3617,B0002AS668,Kaytee CritterTrail Fun-nel Look-Out,The CritterTrail Fun-nel Look-Out is a great way to expand your <br> pet's living space and to create the...,rabbits and rodents,rabbits and rodents_5,20,0.7870933333333332,15.0,36
3630,B0002AS9T2,"Natural Choice Small Breed Adult Chicken, Whole Brown Rice And Oatmeal Formula - 8 Lbs. (3.63 Kg)",  <img src='https://images-na.ssl-i...,dog,dog_3,2,0.6794666666666666,15.0,97
3633,B0002AS6MC,Bunny Bites - contains 4 each,100079296 Features: -Small animal toy. -4 Packs. -Made in United <br> States. -Package includes four carr...,rabbits and rodents,rabbits and rodents_4,8,0.6069799999999999,5.0,29
3641,B0002ASAB4,Super Pet Bunny Flip-N-Toss Sisal Rope Toy for Rabbits (Corn),"&quot; It&#039;s totally true, rabbits really love to throw <br> things&#046; Don&#039;t let your rabbit ...",rabbits and rodents,rabbits and rodents_5,7,0.56105,2.0,61
3643,B0002ASBA4,Kaytee Hammock with Stand,"The Kaytee Guinea Pig Hammock with Stand provides a cozy, secure <br> resting place for guinea pigs or ot...",rabbits and rodents,rabbits and rodents_1,30,0.7932035714285716,28.0,25
3646,B0002ASAV4,Superpet (Pets International) SSR62104 Ferret Shake and Roll Toy,"Superpet ferret shake, rattle and roll toys are colorful plastic <br> balls with three simply sensational...",rabbits and rodents,rabbits and rodents_1,46,0.19554,5.0,64
3649,B0002AS8Q6,Kaytee Run-About 7&quot; Hamster Exercise Ball,Run-about balls provide pets and pet owners with interactive fun <br> during playtime. Sized perfectly fo...,rabbits and rodents,rabbits and rodents_6,24,0.4416523809523808,168.0,46
3651,B0002AS9OM,Kaytee Gravity Bin Feeder with Bracket,Gravity Bin feeders hold up to two pounds of food giving your <br> pets a five day food supply. Gravity B...,rabbits and rodents,rabbits and rodents_5,45,0.390383732057416,209.0,38
3660,B0002AS5NM,Kaytee CritterTrail One Level Habitat,"Offers spacious living for all hamsters, gerbils or mice. Comes <br> complete with water bottle, food dis...",rabbits and rodents,rabbits and rodents_5,56,0.4775206611570245,121.0,37
3685,B0002ASBF4,"Kaytee Super Sleeper Fuzz-E-Floor, Colors Vary",The fuzz-e-floor super sleeper will turn your ferret's cage into <br> a cozy home. Use it to line the flo...,rabbits and rodents,rabbits and rodents_3,59,0.6247473118279567,93.0,46
3686,B0002ASBTU,Kaytee Hamster Come Along Carrier (Assorted Colors),"Let your pet travel in first class in the Come Along carrier, a <br> cozy and comfortable fabric-covered ...",rabbits and rodents,rabbits and rodents_1,54,0.3152610859728503,442.0,51
