,asin,title,description,category,topic_name,bubble_color,bubble_size,clean_link,topic_rank
172,B0006JLTTQ,Penn Plax South Castle Aquarium Decor,"The Penn Plax Castle Aquarium Decoration offers <br>visual interest to your tank while reducing fish <br>boredom. Painted in shades of grey, this medieval <br>castle is perched upon a rocky landscape with a <br>flowing waterfall underneath. This aquarium <br>decoration serves two purposes, to add visual <br>interest for ...",fish,fish_1,0.5406941176470589,102,,26
51,B0006JLUTK,ProClear Aquatics Sponge Foam Block 10 in x 4 in <br>for Pro150 and Model 175 or 125,"Replacement Polishing Block for the ProClear <br>Aquatics Model 125/ Pro 150 Series / 175 Wet Dry <br>Filter.,,",other,other_1,0.2965,6,,26
146,B0002ARXUI,Bird Toys - Multipettipet TOY BIRDY BUDDY GN LG,"Bird Toys by MULTIPET INTERNATIONAL - Get Fast <br>Shipping and Low Prices at PetsWarehouse.com on <br>over 43,000 Pet Supplies such as Dog Food, Dog <br>Supplies, Cat Food, Cat Supplies, Bird Food, Bird <br>Supplies, Aquarium Supplies and Fish Supplies.  We <br>offer our customers the largest selection of Pet <br>...",bird,bird_6,0.70615,2,1.0,26
5428,B00HP13YLY,"HIKARI SALES U.S.A,INC - MICRO PELLETS 1.58 OZ",,fish,fish_0,0.8117,1,1.0,26
2777,B00DL6EJHU,"Weaver Leather's Copper Cow Bell - 1-1/2&quot; W X <br>1-1/4&quot; D Opening, 1-1/2&quot; H","This bell is ideal for use on neck straps for <br>cows, sheep and goats. Copper plated over steel. <br>Measures 1-1/2"" W x 1-1/4"" D Opening, 1-1/2"" <br>H.,Statements regarding dietary supplements have <br>not been evaluated by the FDA and are not intended <br>to diagnose, treat, cure, or prevent any disease <br>or health ...",farm animals,farm animals_0,0.0,1,,26
330,B0002ASBE0,Superpet (Pets International) Ferret Connector - <br>White 2Pk,""" FerreTrail Passageway Connectors were designed <br>so you can connect your FerreTrail Bubble Wave <br>Fun-nel System directly to Super Pet Care Homes <br>Item #60316, 60317 or 60319 and Care Kit Item <br>#60333. Simply remove the small metal door located <br>on the side panel of the home and insert a <br>Passageway ...",rabbits and rodents,rabbits and rodents_3,-0.06405,2,1.0,26
1806,B001DIN1QS, Max&#39;s Closet 90621 Polo Shirt Dog Shirt,Black polo shirt with Red and White striped ribbed <br>collar. Red embroidered Max's Closet logo on <br>chest.,dog,dog_5,0.7993866666666667,15,1.0,26
159,B0002DIM1O,Nekton-E Vitamin E Fertility Supplement for Birds,"Best response food in the Can O' lineup; A natural <br>source of fat; Ideal for all insect eating <br>reptiles, birds and mammals.",bird,bird_1,0.4475777777777778,9,1.0,26
7222,B00DD5I24K,Paco Collars - &quot;Pbrc Deluxe&quot; - Handmade <br>Leather Large Dog Collar - 1.5&quot;Wide - Silver <br>- Chocolate 22&quot;-24&quot;,"No, silly, it doesnt stand for Pabst Blue Ribbon <br>Collar. . . we designed it for Pit Bull Rescue <br>Central. At 1 1/2_ wide and featuring a fun <br>pattern of small and large flat spots, this collar <br>compliments just about any big dog. Paco Collars <br>are based on your pet's true neck size, *not* the <br>length of ...",dog,dog_1,0.938,2,,26
38,B0006JLOO6,Fluval Magnetic Impeller for 1 Plus Underwater <br>Filter,"This magnetic impeller is used for Fluval 1 Plus <br>underwater filter model A160. 110-Volts. Measures <br>4/5-inch length by 2-1/2-inch width by 3-8/9-inch <br>height.,,",other,other_5,0.0,1,,26
13750,B00DD5BA0I,Paco Collars - &quot;Pandora Deluxe&quot; - <br>Handmade Leather Medium Dog Collar - 1&quot;Wide - <br>Brass - Black 16&quot;-18&quot;,This 1_ wide double layer collar features 3/4_ <br>ranger star conchos and petite studs. The thin <br>width and double layer means this collar still <br>shows up through thick coats and an extra D ring <br>makes it so your tags and leash dont have to <br>share. Flashy yet functional. Paco Collars are <br>based on your ...,dog,dog_4,0.9498,2,,26
9381,B00K5CEL1W,Freestanding Pet Gate 20 Inch Small Black,"Wheres the rule that says a pet gate cant look <br>fantastic in your home? This hardwood gate is <br>fully adjustable and beautifully handcrafted, with <br>sturdy mortise and tenon joints and rotating legs <br>that fold flat for storage. And its free standing, <br>so it wont damage walls. Features:  No assembly or <br>...",dog,dog_0,0.7803,3,,26
2,B000256DP4,Zil Bulb Flo Coil Trpcl 20w,"Ideal for tropical and temperate dwelling reptiles <br>like anoles day geckos iguanas chameleons tegus <br>and more. Delivers extra uvb light essential for <br>strong bones. Color corrected visible light <br>brightens reptile colors. Designed for both <br>fluorescent and incandescent light fixtures,,",amphibians and reptiles,amphibians and reptiles_3,0.25,1,,26
189,B0006L4DYW,Premium Fold-Down Wire Dog Crate in White,"The 200 series of premium folding crates offers <br>the best solutions for your caging needs. <br>Manufactured with premium wiring with durable <br>finishes and finely engineered latches, handles, <br>hinges and a pan makes cage set up and teardown a <br>breeze. A truly stackable cage.,,",rabbits and rodents,rabbits and rodents_4,0.8478,2,1.0,26
260,B000BU7B60,48&quot; R2 Sig Series Aquarium Moonlight,"Our Engineers have developed our moonlights to <br>mimic the light of the moon. R2 Moonlights boast <br>specialized LEDs that produce the same wavelength <br>as that of the moon. This wavelength creates a <br>more natural nighttime environment for aquarium <br>fish, invertebrates and photosynthetic corals. The <br>moon ...",rabbits and rodents,rabbits and rodents_2,0.5242,1,,26
4867,B00GDL7IB4,Honest Company Diapers Size 2 - Feathers (One <br>Package 40 Ct)(fits Babies 12-18 Lbs),,bird,bird_0,0.5095,1,,26
25,B0002AQKK2,"Fluval Ammonia Remover, 180-gram Nylon Bags - <br>3-Pack","Ammonia Remover removes ammonia before it can harm <br>fish. An effective addition to normal filter <br>media, it reduces unacceptable levels of ammonia. <br>In chloramine treated water, it helps remove <br>excess ammonia created when the chloramine bond is <br>broken to release free ammonia. Ammonia Remover <br>should be ...",fish,fish_6,0.415873728813559,118,1.0,26
202,B00014F852,"Pedigree Dentastix, Original, Large, 6.1 oz","Pedigree Dentastix Dog Treat A delicious and <br>convenient way to help clean teeth, Pedigree <br>Dentastix Daily Oral Care Dog Treat is a tasty <br>treat clinically proven to reduce tartar buildup <br>by up to 80%. Dogs love its delicious flavor! <br>Features:  Unique ""X"" shape and special texture <br>clean between teeth ...",dog,dog_3,0.8456666666666667,3,1.0,26
104,B0002ASQ1S,Four Paws Pet Products Ferret Glow Shampoo 12oz,Four paws Ferret Glow has been specially <br>formulated to eliminate body odors that are caused <br>by ferret&#039;s glandular excretions&#046; It is <br>hypo&#045;allergenic and pH balanced to leave the <br>ferret&#039;s coat with a rich looking <br>glow&#046;12 oz&#046;,rabbits and rodents,rabbits and rodents_5,0.6119,1,1.0,26
6,B0002563C2,"Jungle NL080-8-4 Net Soak Net Cleaner, 8-Ounce, <br>236-ml","Jungle Net Soak concentrated net cleaner for use <br>with established aquariums removes most harmful <br>substances from nets instantly and removes odors <br>and cloudiness. It also keeps net fabric moist, <br>resulting in less abrasion to the slime coat of <br>fish  a common problem caused by dry, rough nets. <br>Fill a ...",fish,fish_4,0.2977857142857143,7,1.0,26
180,B0002ARSCQ,Wardley,"Wardley Premium Algae Discs, 8-1/2-Ounce,,",fish,fish_2,0.5600980769230769,52,1.0,26
12985,B00KO8LQE2,3.15lb Kitkabdl Cat Food,"Chicken, turkey, and ocean fish flavors all in one <br>bag, give your cat the lip-smackin' variety she <br>craves! an assortment of shapes! for fun shapes to <br>keep every bite interesting! at purina we're <br>unconditionally devoted to pets. We've dedicated <br>over 75 years to developing high-quality products <br>that ...",cat,cat_0,0.6372333333333333,3,1.0,26
100,B00061URU6,"Nature Zone Bites For Iguanas, Soft Moist Food, <br>24-Ounce","Nature Zone IGB2 Bites for Iguanas are a soft, <br>moist, and ready to eat food designed specifically <br>for iguanas. Nature Zone IGB2 Bites for Iguanas <br>are made in the USA with the highest quality human <br>grade ingredients. The light green color and <br>passion fruit flavor and scent, attract iguanas, <br>and keep ...",rabbits and rodents,rabbits and rodents_6,0.5133934782608697,46,1.0,26
152,B0002DIZFM,Penn-Plax Calcium Perch - X-Small,This product is easy to use. This product adds a <br>great value. This product is Manufactured in <br>China. This product is designed for pets and there <br>use.,bird,bird_2,0.2980125,8,1.0,26
4,B000255OWW,Zoo Med Terrarium Moss,"Completely natural moss cage substrate for <br>amphibians and wetland environment reptiles. Great <br>for use in humidifying shelters for all types of <br>reptiles and amphibians. Excellent for use as an <br>egg-laying and incubation medium for a variety of <br>reptiles.,,",amphibians and reptiles,amphibians and reptiles_2,0.0330333333333333,6,1.0,26
2028,B003IPPFFE,"Conquer Hy-Otic Ear Rinse With Sodium Hyaluronate, <br>Cucumber Melon, 4 oz.",,other,other_0,0.6249,1,1.0,26
5,B000256DLS,Pretty Bird Jungle Munchies Conure Food,"Jungle Munchies Conure/African Parrot Seed has <br>been scientifically formulated to give your Conure <br>or African Parrot every advantage possible. Every <br>bag of Jungle Munchies contains a carefully chosen <br>selection of finest quality ingredients, it is <br>also flavour enhanced to ensure your bird will <br>enjoy ...",bird,bird_3,0.6446500000000001,2,1.0,26
140,B0002AT84C,Exotic Environments Caribbean Living Reef Aquarium <br>Ornament,"Exotic Environments Caribbean Living Reef Aquarium <br>Ornament is made with durable poly resin material <br>safe for use in all aquariums, Large, 12 inch by <br>8-1/2 inch by 9 inch",fish,fish_3,0.4343411764705883,17,,26
57,B0002MKC7C,Fat Cat Kitty Hoots Political Animals Capitol <br>Hilary,"Yep! This is who you think it is. The cats have <br>voted and we have listened. Introducing our newly- <br>elected official Political Animals. We think these <br>guys are gonna kick up some dust 'n ruffle <br>feathers in your house. They're great candidates <br>to get your ""party"" started. Toys are <br>approximately 7"" x ...",cat,cat_1,0.6662,2,1.0,26
59,B0002DHW10,MidWest Homes for Pets Dog Crate Replacement Pans,"This durable leak proof replacement pan fits <br>specific 30"" long folding metal dog crates offered <br>by MidWest Homes for Pets. The replacement pan is <br>compatible with the single door / double door Life <br>Stages and Ultima Pro dog crates (models 1630, <br>1630DD, 730UP). The durable replacement pan is <br>made ...",rabbits and rodents,rabbits and rodents_1,0.498792303745512,1949,1.0,26
64,B0002JVW60,Kyjen Outward Hound Green Day Hike Fanny Pack with <br>Bottles,,other,other_3,0.8832,1,0.0,27
18,B000256EMG,Kordon Amquel Plus Water Conditioner,Unique water conditioner providing actions needed <br>for safe aquarium and pond keeping for fishes and <br>invertebrates. Nontoxic and saves on the need for <br>as many water changes as would otherwise be <br>required. Removes/detoxifies all of the kinds of <br>toxic nitrogen compounds in the water.,fish,fish_4,-0.145457894736842,19,,27
95,B0007P130E,Purina ONE Biscuits Lamb &amp; Rice Flavor,"Helps clean teeth and freshen breath. Great taste <br>with high quality ingredients. Helps promote <br>healthy skin & coat.,Wheat flour, lamb meal, <br>brewers rice, corn gluten meal, beef tallow <br>preserved with mixed-tocopherols (source of <br>Vitamin E), salt, L-Lysine monohydrochloride, <br>calcium carbonate, ...",farm animals,farm animals_0,0.4926,1,1.0,27
12987,B00KO8LX18,Tidy Cats Litter with Glade 14 LB (Pack of 3),,cat,cat_0,0.6792,1,,27
1,B000255NNW,Sandstone Airstone - 12 in. x 3/4 in. x 3/4 in.,The Sandstone Airstone will produce a 12 inch long <br>wall of bubbles. This blue stone will hide in the <br>aquarium gravel but will work best if it is not <br>covered by the gravel.,amphibians and reptiles,amphibians and reptiles_2,-0.1107249999999999,4,1.0,27
653,B0006349BC,SSS Elastic Fitted Sheet for Pet Care Coil Spring <br>Bed #155 20&quot; X 30&quot;,"Protect your SSS PetCare #155 pet bed 20"" x 30"" <br>with an elastic fitted sheet from Pet Goods Mfg. & <br>Imports. This durable polyester and cotton blend <br>is machine washable and is ready for the dryer. A <br>thick elastic band is stitched completely around <br>the bottom of the sheet to ensure a snug fit and <br>...",rabbits and rodents,rabbits and rodents_3,0.7945,1,1.0,27
107,B0002APSYG,Jungle Laboratories Binox 18oz,"A broad range treatment for all tropical fish and <br>goldfish that clears severe fungus and bacteria <br>related problems including cotton fungus, grey <br>slime, scratching, open sores, bloody spots and <br>streaks, fintailmouth rot, swim bladder disease, <br>dropsy and cloudy eyes&#046; A great alternative <br>to ...",fish,fish_5,0.5994,1,,27
27,B0002AR2XQ,"Exo Terra Heatwave Rock, Ul Listed","The Exo Terra Reptile Heatwave Rock Electronic <br>Heat Stone simulates a stone heated by the sun. <br>Various reptiles, including nocturnal, use this <br>form of conductive heat for thermoregulation which <br>is important for metabolism and digestion. The Exo <br>Terra Reptile Heatwave Rock Electronic Heat Stone <br>...",amphibians and reptiles,amphibians and reptiles_3,0.4338414285714286,70,,27
928,B000PTS2G0,"Purina O.N.E. Dog Food, Smart Balance Chicken <br>&amp; Rice Formula , 16.5 lbs","No added fillers, artifical colors or flavors. <br>Easy to digest. Animal feeding tests using <br>Association of American Feed Control Officials <br>(AAFCO) procedures substantiate that Purina O.N.E. <br>brand dog food Chicken & Rice Formula provides <br>complete and balanced nutrition.,Serve dry or <br>moistened. There ...",dog,dog_0,0.5533,4,1.0,27
111,B0002APJMC,Royal Pet Supplies Inc Seachem Entice,"Entice is an all natural scent and flavor enhancer <br>for finicky eaters. Simply soak any food item in <br>Entice to attract the interest of finicky eaters. <br>Ideal for all marine and freshwater fish.,,",fish,fish_2,0.0713625,8,,27
56,B0002ZJUR2,Double Ply Nylon Collar 1&quot; x 20&quot; Red,"Nylon Double ply collar. The length listed is the <br>length of the collar. This has 4 holes, last hole <br>is 2"" from end of collar.",other,other_4,0.5209,1,1.0,27
7223,B00DD5IIAI,Paco Collars - &quot;Glow&quot; - Exclusive <br>Handmade Leather Large Dog Collar - 1.25&quot;Wide <br>- Brass,"Round studs and rhinestones flow together to <br>create a sense of movement and beauty. Truly one <br>of our most eye-catching designs, The Glow does <br>just that. This 1.25"" collar looks best with <br>multiple colors of rhinestones, usually ones in <br>the same color family or rainbow. Paco Collars are <br>based on your ...",dog,dog_1,0.9474,1,,27
6794,B003ZFN4LY,"PETZL - Dog Harness, Harness for Airlifting Dogs","Lightweight and easily adaptable to different <br>shapes, this harness for airlifting a dog allows <br>the animal to remain functional.",dog,dog_3,0.0,1,1.0,27
136,B0002DJJ9S,Easter Island Statue - 2 in. x 2 12 in.,,rabbits and rodents,rabbits and rodents_4,0.495,2,,27
4942,B003VGCX28,Snoozer Euro Rolling Pet Carrier,"This bag is the perfect way to show off your pet <br>and your sense of fashion at a terrific price! <br>Streamline pod design with modern style, Unique <br>shoulder strap system.",dog,dog_4,0.3283,6,1.0,27
57,B0002AQCQE,Vitakraft Lofty`S Small Animal Treat 2oz,Lofty&#039;s is a light and crispy <br>pillow&#045;shaped treat to be used as a <br>between&#045;meal snack to complement your <br>pet&#039;s regular diet&#046;100g&#047;3 ? <br>oz&#046;,rabbits and rodents,rabbits and rodents_2,0.555,2,1.0,27
38,B0002ASIXE,"Ornabac Bird Supplement, 15Gm","Ornabac 15gm,,",bird,bird_3,0.06424,5,1.0,27
47,B0002ARMUE,"ZuPreem 230056 Prem Ferret Diet Food, 4-Pound","ZUPREEM 230056 Prem Ferret Diet Food, 4-Pound,,",rabbits and rodents,rabbits and rodents_6,0.5928,20,1.0,27
174,B0002E7J94,New Life Spectrum Small Fish Formula 200g,"New Life Spectrum food is made with high-quality <br>easily digestible South Antarctic Krill, Herring, <br>Squid, and New Zealand Mussel protein, and several <br>all-natural color-enhancing ingredients for a <br>balanced diet that boosts immune system function <br>and enhances the full spectrum of your fish's <br>color. ...",fish,fish_3,0.6179733333333333,45,1.0,27
91,B0002AXGPE,Prevue Pet Cockatiel Court Tabletop Playpen,"Prevue Pet Products Cockatiel Court Playground <br>22530 provides your bird with necessary exercise <br>and stimulation. Designed for Cockatiels and small <br>Parrots, our colorful playground is constructed <br>from solid hardwood and features 100-percent safe, <br>FD and C colors. Laminated base makes cleaning <br>quick ...",bird,bird_2,0.5248022727272729,44,1.0,27
116,B0002DGKCM,Kitchn Zesty,"K Kaytee Kitchen Creation Zesty Vegetable 7.5oz <br>Kaytee Kitchen Creations is formulated with <br>nutrient fortified pasta, pre-cooked beans and <br>select ingredients to create a nutritious and <br>easy-to-prepare soft diet that all large and <br>medium hookbills love! Ingredients Wheat Flour, <br>Pre-Cooked Kidney ...",rabbits and rodents,rabbits and rodents_5,0.2263,1,1.0,27
6545,B00JKQXI8G,"Nylabone Healthy Edible Bone, Bacon Flavored with <br>Vitamins (2 Pack)","Healthy Edibles Bacon Flavor Bone with Vitamins <br>(Souper): A tasty and completely edible chew that <br>is easily digestible providing a safe and <br>enjoyable alternative to traditional rawhide. NO <br>plastic and NO added sugar. Delicious bacon flavor <br>bone with added vitamins. Made in the <br>USA.,Statements ...",other,other_0,0.6345333333333333,3,,27
2303,B001OVBENQ, 52367 HONEY STK HAM/GERB 4OZ,"Kaytee Treat Sticks are a fun-to-eat way to add <br>variety and activity to your pet's diet. Choose <br>from any of the fresh-tasting flavors to provide a <br>special treat made from fortified, nutritious <br>ingredients. Ingredie",rabbits and rodents,rabbits and rodents_0,0.6297,1,,27
6794,B00D8J5XRA,Merrick Grain Free 96% Meat Canned Dog Food <br>Variety Pack,"Hungry dogs crave protein, and with Merrick Grain <br>Free 96% Meat Canned Dog Food Variety Pack, that <br>is exactly what they will get! This scrumptious <br>variety pack includes high quality meats such as <br>beef, duck, lamb and buffalo, and chicken. Your <br>pooch is sure to find exactly the taste he is <br>looking ...",dog,dog_5,0.9412,1,1.0,27
6,B00025YRNE,Marineland Giant Bamboo,"FancyPlants Giants and floaters are rich full <br>plant shapes that gently float on the waters <br>surface or can be wrapped around craggy surfaces <br>of rock and wood. Ranging in size from 36"" to 52"" <br>long, they provide shelter and protection for <br>fish, reptiles, or amphibians.,,",amphibians and reptiles,amphibians and reptiles_0,0.715125,4,,27
42,B0002DHNVE,8In1 Shampoo Bronze Coat 16Oz,,other,other_6,0.9164,1,,27
36,B0006605TO,Nilotron Aerosol Refill - Cucumber Melon Scent,Refills for the Nilotron Auto Aerosol Dispenser.,other,other_5,-0.4318,1,1.0,27
10,B000256DPY,Zoo Med Prefilter for All Power Sweep Power Heads,Powersweep Prefilter assembly contains the square <br>prefilter and the deluxe mounting bracket with <br>four suction cups. Fits all four Power Sweep <br>models.,other,other_1,0.6402,3,1.0,27
145,B000BJK3UW,Rio 14HF HyperFlow Water Pump - 840 GPH,"Professional grade water pump with new power <br>magnetic vortex rotor blade technology. Drive <br>shaft is made of hardened ceramic and runs on <br>ceramic bearing inside the impeller. Compact pump <br>with more output power, only comparable to an <br>external MD water pump. Energy efficient water <br>pumps, with ...",rabbits and rodents,rabbits and rodents_1,0.5958419354838709,31,,27
151,B0009YJ3MS,Zeolite Replacement Filters for Litter Boxes - <br>5.4&quot; X 6.2&quot; X 0.5&quot;,Reduce litter box odor; specially developed <br>activated charcoal air filters fit into grill <br>inserts on specially designed litter box <br>hoods&#046; 2 sizes,cat,cat_5,0.5092,3,1.0,27
3254,B0071D0PY0,"3 PACK MEGALAST MEGABEAR, Size: LARGE (Catalog <br>Category: Dog:TOYS)",,dog,dog_2,0.8301,1,,27
19,B000084EI0,Fancy Feast Gourmet Seafood Feast (24/3-oz cans),"Our Seafood Feast(TM) is exquisitely smooth pate, <br>which is sure to please the most discriminating <br>seafood-loving palate.",cat,cat_1,0.9963,1,1.0,27
3763,B007NDD0OK,"Milo's Kitchen Dog Treats, Chicken Grillers, <br>20-Ounce Package","It's easy to see that each piece of Milo's Kitchen <br>Chicken Grillers are made with real, honest <br>ingredients. Just ask your dog. Of course, with <br>that satisfyingly chewy texture and mouthwatering <br>aroma, he might have his mouth full. They don't <br>just look like real beef sausage slices, they are <br>100% ...",dog,dog_6,0.3442599999999999,5,1.0,27
4692,B00DR0B89C,Penn Plax Large Bonsai Tree on Rocks RR992,"The Bonsai Tree on Rocks is designed for fresh and <br>salt water aquariums. The decoration has a swim <br>through rock formation and a bonsai tree with <br>colorful green branches which can be used as a <br>hiding spot for smaller fish.,Statements regarding <br>dietary supplements have not been evaluated by the <br>FDA ...",fish,fish_0,0.3536333333333333,3,,27
382,B000PD6B82,Pop Up Kitty Teasers Cat Toy,"Pop-Up Kitty Teasers are designed for maximum <br>kitty surprise and enjoyment with eight in each <br>package. Turn a fluorescent Teaser inside-out to <br>activate, then place them on the floor or table <br>and watch the fun begin. Cats go nuts every time <br>they pop into the air!",cat,cat_2,-0.4398,1,,27
32,B0002DGZT0,"Living World Small Skewer with Wood Pegs, Beads, <br>Leather Strips &amp; Bell","The Living World Junglewood Small Skewer with Wood <br>is a great toy for your bird to chew at and <br>entertain itself with. The enriching toy <br>stimulates natural foraging and helps reduce <br>stress on your bird. The bright colors provide <br>visual stimulation and attract the bird's <br>attention, while the chime ...",bird,bird_4,0.3699,1,,27
3077,B004UMLZQW,Sun Seed Vita Prima Parakeet Formula Bird Seed <br>Food 1.75-lb bag,,bird,bird_0,0.9864,1,1.0,27
85,B0002AQ8L8,Zeigler Bird Diets Maintenance Formula for Medium <br>&amp; Large Parrots,"Zeigler Parrot Maintenance for Medium and Large <br>Parrots should be fed free choice. It provides a <br>complete nutritional package and therefore should <br>constitute not less than 90% of the total dry <br>matter intake on a daily basis. Always provide <br>clean, fresh water and remove any diet that has <br>become ...",bird,bird_5,0.8934,1,1.0,27
37,B0002DGK9A,"Fritz Aquatics AFA80206 Fritzzyme 9-Saltwater <br>Nitrifying Bacteria for Aquarium, 1-Gallon","Saltwater nitrifying bacteria which contains live, <br>active. Non-pathogenic, non-toxic nitrosococcus <br>and micrococcus nitrifying bacteria.",fish,fish_6,0.622909090909091,11,,27
34,B0002DIEXA,Flow Manifold Cover Emp 280 by MarineLand,Marineland FLOW MANIFOLD COVER EMP 280Replacement <br>Parts for Marineland Power Filters,other,other_2,0.0810333333333333,3,,27
1116,B0014CT25C,"Arm &amp; Hammer Baking Soda Clumping Litter, <br>Fresh Scent, 14 lb","For Extra Odor Protection. Destroys odors <br>instantly. Fresh Scent. Easy-pour no-spill spout. <br>Whether have one cat, two cats, three cats, or <br>more, you can start having an odor-free home the <br>moment Arm & Hammer starts working for you. All of <br>our cat litters have the remarkable power of Arm & <br>Hammer ...",cat,cat_6,0.6249,1,,27
59,B0002A5VZ2,"Acid Buffer, 70 g / 2.5 oz",Acid Buffer is a non-phosphate buffer to lower pH <br>and buffer with Alkaline Buffer. Both buffers are <br>designed for the planted aquarium or for very hard <br>water where phosphate buffers may pose an algae or <br>cloudiness problem. Acid Buffer lowers pH and <br>buffers between 5.0 and 8.0 when used with <br>Alkaline ...,fish,fish_1,0.250475,4,1.0,27
1383,B000VDWW7A,"Fresh Step Scoopable Cat Litter, Perfume &amp; Dye <br>Free, 14 lb",",Fresh Step Odor Shield Unscented Scoopable, Cat <br>Litter, is a perfume- and dye-free cat litter that <br>eliminates odors naturally with carbon and plant <br>extracts. The high quality clumping clay forms <br>such tight clumps that it virtually leaves behind <br>no smelly crumbles after scooping. Cats and ...",cat,cat_4,0.29495,10,1.0,27
2358,B001QXCF30,Sesame Street Soft Safety Harness (Discontinued by <br>Manufacturer),"2002920039 Features: -Plush harness.-Features Elmo <br>on the front to hug and cuddle, with a pocket to <br>hold a favorite toy.-Either attach the hand strap <br>to the harness or the wrist.-2-in-1 harness keeps <br>your child close in crowded places.-Attaches to <br>wrist or harness.,The Sesame Street harness helps <br>...",rabbits and rodents,rabbits and rodents_0,0.6622190476190477,21,0.0,28
3759,B005DQCQXA,Iams Proactive Health Adult Small &amp; Toy Breeds <br>Premium Dog Food 6.1 Lbs (Pack of 2),"Iams ProActive Health Adult Small and Toy Breed is <br>specially formulated nutrition for the unique <br>needs of small dogs.,Pet Food Only,Iams ProActive <br>Health Small & Toy Dog Food is formulated to meet <br>the nutritional levels established by the AAFCO <br>Dog Food Nutrient Profiles for <br>Maintenance.,Chicken, ...",dog,dog_5,0.0,2,1.0,28
4080,B00T24EIVM,NFL Dallas Cowboys The Whole Caboodle 5PC set - <br>Baby Car Seat Canopy with matching accessories,"Now with you favorite NFL team logos. Carseat <br>Canopy products are made for ""year-round"" use with <br>fabrics not to heavy for summer and not too thin <br>for winter. Each one of our canopies has bold, <br>fresh, cutting-edge prints on 100% cotton outers <br>with soft, snuggly, lovable 100% polyester minky <br>...",farm animals,farm animals_0,0.7943,8,0.0,28
1660,B001VIWG66,Pedigree Good Bites Dog Treat Multi Vitamin,"Pedigree Good Bites Dog Treat Pedigree Good Bites <br>dog treats are tasty and bite-sized, packed with <br>essential vitamins and minerals. Because they <br>taste so good and are so good for your dog, you <br>can feel good about treating anytime throughout <br>the day. Available in 5 good-for-your-dog <br>varieties. ...",dog,dog_6,0.462,2,1.0,28
82,B00066N97Y,Fairchild 1 oz Spray Cologne,"If you like Oscar(R), you'll love our Fairchild",other,other_3,0.7141714285714286,7,1.0,28
160,B0002AQ6U6,Prevue Pet Products Hamster Exercise Wheel 7 in <br>Welded Axel,",Made from nickel and features a welded axle <br>wheel.,,,",rabbits and rodents,rabbits and rodents_3,0.0697666666666666,3,1.0,28
44,B0002DHZIA,AquaClear Intake Stem for 30/50 Power Filters,"This intake stem is used for AquaClear power <br>filter models 30, 150. Comes in polybag with <br>header. Measures 2/3-inch length by 4-1/2-inch <br>width by 6-1/2-inch height.",other,other_6,0.4110684210526316,19,,28
7288,B00NUPAL92,BESTIM INCPet LED Flashing Blink Light Safety Tag <br>Collar,,other,other_0,-0.3818,1,,28
92,B0002BIZN6,L'Avian Plus Cockatiel Food No Sunflower,"L'Avian Plus Cockatiel Food No Sunflower offers a <br>premium nutritionally fortified (with added <br>supplement) seed diet formulated specifically for <br>Cockatiels and other species.Primary Species: <br>Cockatiels, Grass Parakeets and <br>Conures.Ingredients: Safflower Seed, Millet, <br>Canary Grass Seed, Buckwheat, ...",bird,bird_2,0.8414,3,1.0,28
37,B00025K1GQ,"Hikari Bio-Pure Freeze Dried Blood Worms for Pets, <br>0.42-Ounce","A Great Treat Or Daily Diet For All Types Of <br>Tropical Fish, Most Freshwater FishesIncluding, <br>Cichlids, Discus, Betas and Goldfish. Bio-Pure FD <br>is the worlds cleanest freeze-dried fish food <br>available today. Pharmaceutical freeze-drying <br>techniques allow us to give you a product as close <br>to fresh as ...",fish,fish_1,0.5473482394366188,284,1.0,28
596,B000MNJNRQ,World's Best Cat Litter Clumping Formula,"The only natural litter made from whole kernel <br>corn. Our patented formula harnesses the power of <br>corn to offer outstanding odor control, easy clean <br>up and its pet, people and planet friendly.",cat,cat_3,0.4943930885529156,463,1.0,28
92,B0002HBO0Q,Lifegard Aquatics Customflo Water System Complete <br>Kit,"Assemble parts in multiple ways to create desired <br>flow patterns.,,",rabbits and rodents,rabbits and rodents_1,0.5075416666666667,12,,28
26,B0002563K4,AquaClear Extension Tube for Power Filters,"The AquaClear Extension Tube is an extension tube <br>with an integrated strainer for the AquaClear <br>Power Filters 70 and 110 Models. The extension <br>tubes snap together in order to provide maximum <br>reach and filtration for your aquarium, helping to <br>leave it sparkling clean.",fish,fish_3,0.3961537414965985,147,1.0,28
53,B0002Y1QMK,Bird Collars - 20 cm,Made of a durable clear plastic material. Easy to <br>assemble and requires only a few staples to secure <br>in place.,bird,bird_4,0.0561,5,,28
13,B0002APUS0,"Lee's Pet Products ALE13020 Filter Saver Bag for <br>Aquarium Filter, 4 by 12-Inch","Reusable, fine-mesh filter bag with a draw string <br>for secure bag closure. Helps prevent costly <br>damage to the power filter motor. Can be used to <br>hold carbon, ammonia remover, or any other filter <br>media or resin.,,",other,other_2,0.7182,2,1.0,28
73,B0002DH1L6,Eheim AEH7343390 Rubber Seals for Aquarium Water <br>Pump,"This pressurized volume of air absorbs the sound <br>and makes the Fusion Air Pumps extremely quiet. <br>This unique plenum also regulates the air flow <br>creating a constant powerful output. This patented <br>air pump features an electronic air control knob <br>which creates a quiet and precise air flow.,,",fish,fish_4,0.64586,5,,28
